test_location,study,part_id,cond,coding_missing,lang_group,study_dom,lang_mix_score,child_dom_lang,lang_per_en,lang_per_fr,lang_per_sp,lang_per_ot,lang_name_ot,lang_per_dom,lang_per_ndom,gender,age_days,meanLT_log,sdLT_log,meanLT,sdLT,N
Montreal,1,P01,single,NA,bilingual,non-dominant,12,French,35,65,NA,0,NA,65,35,female,310,1.7126092572194669,0.45391931509648514,6.04,2.6463433891566934,7
Montreal,1,P01,switched,NA,bilingual,non-dominant,12,French,35,65,NA,0,NA,65,35,female,310,1.6470548752080492,0.4881345003467958,5.76,2.982663239455638,6
Montreal,2,P01,single,NA,bilingual,non-dominant,12,French,35,65,NA,0,NA,65,35,female,310,1.2192047326208526,0.4559193145260791,3.7128571428571426,1.78343969420251,7
Montreal,2,P01,switched,NA,bilingual,non-dominant,12,French,35,65,NA,0,NA,65,35,female,310,1.736952671457016,0.7705309349898387,7.28,5.449125312072265,7
NewJersey,1,P02,single,NA,bilingual,non-dominant,25,Spanish,44,NA,56,NA,NA,56,44,female,321,2.004648881713116,0.42659520508727833,7.96875,2.943090880107413,8
NewJersey,1,P02,switched,NA,bilingual,non-dominant,25,Spanish,44,NA,56,NA,NA,56,44,female,321,1.797264166601842,0.4977042863177608,6.71875,3.3222300492289816,8
NewJersey,2,P02,single,1,bilingual,dominant,25,Spanish,44,NA,56,NA,NA,56,44,female,321,1.7318855981133683,0.6002754471606188,6.426,3.2265197969329122,5
NewJersey,2,P02,switched,1,bilingual,dominant,25,Spanish,44,NA,56,NA,NA,56,44,female,321,1.9254159270207836,0.5456817126389257,7.921666666666667,5.409914663529053,6
Montreal,1,P03,single,NA,bilingual,non-dominant,18,English,51,50,NA,0,NA,51,50,female,295,1.9017415000574647,0.18671693856173013,6.8,1.3015759678174763,7
Montreal,1,P03,switched,NA,bilingual,non-dominant,18,English,51,50,NA,0,NA,51,50,female,295,2.03332494907753,0.5888120504457768,8.885,5.27066544998962,8
Montreal,2,P03,single,1,bilingual,non-dominant,18,English,51,50,NA,0,NA,51,50,female,295,1.592430677458541,0.4033043893837848,5.244,2.095478465649313,5
